id,phase,title,ledger_1_0_status,release_0_9_disposition,evidence_or_blocker
T000,P0 Audit and scope,Freeze exact audit inputs and produce a signed immutable input manifest,OPEN,PARTIAL_UNSIGNED,audit/frozen/INPUT_MANIFEST.json; no signature was supplied
T001,P0 Audit and scope,"Reconcile Git tracked files, filesystem files, generated outputs, symlinks, binaries, and ignored release inputs",OPEN,COMPLETED_0_9,audit/frozen/TRACKED_FILE_MANIFEST.json
T002,P0 Audit and scope,Complete language-classified line-by-line review packets and reviewer assignments,OPEN,COMPLETED_SAME_TEAM,audit/frozen/FILE_REVIEW_LEDGER.csv; not independent review
T003,P0 Audit and scope,Create public surface inventory and claim-tier ledger,OPEN,COMPLETED_OR_NARROWED_0_9,audit/frozen/REVIEW_REPORT.md; product profiles and inventories
T004,P0 Audit and scope,"Create threat, misuse, failure, and quirky-case register",OPEN,COMPLETED_OR_NARROWED_0_9,audit/frozen/REVIEW_REPORT.md; product profiles and inventories
T005,P0 Audit and scope,Reproduce the unmodified baseline and archive every command/result,OPEN,COMPLETED_OR_NARROWED_0_9,audit/frozen/REVIEW_REPORT.md; product profiles and inventories
T006,P0 Audit and scope,Inventory TODO/FIXME/HACK/experimental/unimplemented/dormant and permissive fallback paths,OPEN,COMPLETED_OR_NARROWED_0_9,audit/frozen/REVIEW_REPORT.md; product profiles and inventories
T007,P0 Audit and scope,"Inventory dependencies, features, code generators, licenses, assets, datasets, and supply-chain trust",OPEN,COMPLETED_OR_NARROWED_0_9,audit/frozen/REVIEW_REPORT.md; product profiles and inventories
T008,P0 Audit and scope,Create the requirement-to-code-to-test-to-evidence graph,OPEN,COMPLETED_OR_NARROWED_0_9,audit/frozen/REVIEW_REPORT.md; product profiles and inventories
T009,P0 Audit and scope,"Freeze stable, experimental, unsupported, and removed 1.0 capability profiles",OPEN,COMPLETED_OR_NARROWED_0_9,audit/frozen/REVIEW_REPORT.md; product profiles and inventories
